customer_id,customer_name,email,registration_date,customer_type
CUST0001,Amit Sharma,amit.sharma1@example.com,2026-01-29,PREMIUM
CUST0002,Sneha Kulkarni,sneha.kulkarni2@example.com,2024-05-22,VIP
CUST0003,Amit Patil,amit.patil3@example.com,2025-08-27,PREMIUM
CUST0004,Rahul Sharma,rahul.sharma4@example.com,2024-04-05,REGULAR
CUST0005,Sneha Sharma,sneha.sharma5@example.com,2025-07-28,REGULAR
CUST0006,Aditya More,aditya.more6@example.com,2024-08-13,PREMIUM
CUST0007,Anjali Deshmukh,anjali.deshmukh7@example.com,2026-04-08,REGULAR
CUST0008,Priya More,priya.more8@example.com,2024-12-14,PREMIUM
CUST0009,Priya Kulkarni,priya.kulkarni9@example.com,2026-02-20,PREMIUM
CUST0010,Amit Patil,amit.patil10@example.com,2025-01-24,REGULAR
CUST0011,Neha Pawar,neha.pawar11@example.com,2025-09-10,PREMIUM
CUST0012,Rahul Jadhav,rahul.jadhav12@example.com,2025-07-03,REGULAR
CUST0013,Akash Patil,akash.patil13@example.com,2025-07-19,PREMIUM
CUST0014,Anjali Pawar,wrong.email,2025-08-14,REGULAR
CUST0015,Amit Sharma,amit.sharma15@example.com,2025-11-08,REGULAR
CUST0016,Rohan Patil,rohan.patil16@example.com,2026-05-25,REGULAR
CUST0017,Amit More,amit.more17@example.com,2024-10-11,PREMIUM
CUST0018,Neha Joshi,neha.joshi18@example.com,2025-01-14,PREMIUM
CUST0019,Sneha Deshmukh,sneha.deshmukh19@example.com,2025-12-19,VIP
CUST0020,Amit Joshi,amit.joshi20@example.com,2025-06-30,VIP
CUST0021,Sneha Joshi,sneha.joshi21@example.com,2025-04-18,PREMIUM
CUST0022,Rohan Kulkarni,rohan.kulkarni22@example.com,2025-12-02,PREMIUM
CUST0023,Rahul Kulkarni,rahul.kulkarni23@example.com,2026-04-21,REGULAR
CUST0024,Neha More,neha.more24@example.com,2024-10-01,REGULAR
CUST0025,Sneha Pawar,sneha.pawar25@example.com,2024-08-05,VIP
CUST0026,Pooja More,pooja.more26@example.com,2025-10-20,PREMIUM
CUST0027,Priya Deshmukh,priya.deshmukh27@example.com,2024-05-22,REGULAR
CUST0028,Aditya Deshmukh,aditya.deshmukh28@example.com,2026-02-03,VIP
CUST0029,Akash More,akash.more29@example.com,2025-01-05,REGULAR
CUST0030,Priya Jadhav,priya.jadhav30@example.com,2024-04-03,REGULAR
CUST0031,Amit Joshi,amit.joshi31@example.com,2025-10-04,REGULAR
